,id,title,vote_average,vote_count,status,release_date,revenue,runtime,adult,budget,original_language,original_title,overview,popularity,tagline,genres,production_companies,production_countries,spoken_languages,Genero
527,502356,The Super Mario Bros. Movie,7.775,6743,Released,2023-04-05,1355725263,93,False,100000000,en,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",410.411,Not all heroes wear capes. Some wear overalls.,"Animation, Family, Adventure, Fantasy, Comedy","Universal Pictures, Illumination, Nintendo","Japan, United States of America",English,"['Animation', 'Family', 'Adventure', 'Fantasy', 'Comedy']"
3478,575264,Mission: Impossible - Dead Reckoning Part One,7.74,1171,Released,2023-07-08,563148955,164,False,291000000,en,Mission: Impossible - Dead Reckoning Part One,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",401.083,We all share the same fate.,"Action, Thriller","Paramount, Skydance, TC Productions",United States of America,"French, English, Italian, Russian","['Action', 'Thriller']"
10134,926393,The Equalizer 3,6.914,251,Released,2023-08-30,158300000,109,False,70000000,en,The Equalizer 3,"Robert McCall finds himself at home in Southern Italy but he discovers his friends are under the control of local crime bosses. As events turn deadly, McCall knows what he has to do: become his friends' protector by taking on the mafia.",359.237,Justice knows no borders.,"Action, Thriller, Crime","Escape Artists, Columbia Pictures, Eagle Pictures, ZHIV Productions","Italy, United States of America","English, Italian","['Action', 'Thriller', 'Crime']"
631,439079,The Nun,5.9,6076,Released,2018-09-05,365582797,96,False,22000000,en,The Nun,A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.,357.731,Pray For Forgiveness,"Horror, Mystery, Thriller","New Line Cinema, Atomic Monster, The Safran Company",United States of America,"English, Romanian, French, Latin","['Horror', 'Mystery', 'Thriller']"
2025,447277,The Little Mermaid,6.536,2148,Released,2023-05-18,569244557,135,False,250000000,en,The Little Mermaid,"The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.",353.543,"Watch and you'll see, some day I'll be, part of your world!","Adventure, Family, Fantasy, Romance","Walt Disney Pictures, Lucamar Productions, Marc Platt Productions",United States of America,English,"['Adventure', 'Family', 'Fantasy', 'Romance']"
3493,724209,Heart of Stone,6.901,1166,Released,2023-08-09,0,124,False,0,en,Heart of Stone,An intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable — and dangerous — weapon.,336.927,Defy the odds,"Thriller, Action","Skydance, Pilot Wave Motion Pictures, Mockingbird Pictures",United States of America,English,"['Thriller', 'Action']"
5187,1040148,"Ruby Gillman, Teenage Kraken",7.474,677,Released,2023-06-28,43716515,91,False,70000000,en,"Ruby Gillman, Teenage Kraken","Ruby Gillman, a sweet and awkward high school student, discovers she's a direct descendant of the warrior kraken queens. The kraken are sworn to protect the oceans of the world against the vain, power-hungry mermaids. Destined to inherit the throne from her commanding grandmother, Ruby must use her newfound powers to protect those she loves most.",321.777,Discover the hero just beneath the surface.,"Animation, Family, Fantasy, Comedy","Universal Pictures, DreamWorks Animation, dentsu",United States of America,English,"['Animation', 'Family', 'Fantasy', 'Comedy']"
849,447365,Guardians of the Galaxy Vol. 3,8.023,4941,Released,2023-05-03,845430302,150,False,250000000,en,Guardians of the Galaxy Vol. 3,"Peter Quill, still reeling from the loss of Gamora, must rally his team around him to defend the universe along with protecting one of their own. A mission that, if not completed successfully, could quite possibly lead to the end of the Guardians as we know them.",318.516,Once more with feeling.,"Science Fiction, Adventure, Action","Marvel Studios, Kevin Feige Productions",United States of America,English,"['Science Fiction', 'Adventure', 'Action']"
12624,1002185,A Million Miles Away,8.011,179,Released,2023-09-08,0,123,False,0,en,A Million Miles Away,"The life of engineer and former NASA astronaut José M. Hernández, the first migrant farmworker to go to space.",311.77,It takes more than a dream to reach the stars.,"Drama, History","Select Films, Redrum, Metro-Goldwyn-Mayer","Mexico, United States of America",English,"['Drama', 'History']"
4990,635910,The Last Voyage of the Demeter,7.318,715,Released,2023-08-09,21576744,119,False,45000000,en,The Last Voyage of the Demeter,The crew of the merchant ship Demeter attempts to survive the ocean voyage from Carpathia to London as they are stalked each night by a merciless presence onboard the ship.,307.895,The legend of Dracula is born.,"Thriller, Horror","Phoenix Pictures, DreamWorks Pictures, Wise Owl Media, Reliance Entertainment, Studio Babelsberg, StoryWorks Productions","Germany, India, United Kingdom, United States of America","English, Russian","['Thriller', 'Horror']"
